gene_id	20.NM1__d1	20.NM1__d2
H2NCmale_00000523-RA	0	0
H2NCmale_00000525-RA	0	0
H2NCmale_00000526-RA	0	0
H2NCmale_00000530-RA	0	0
H2NCmale_00000531-RA	0	0
H2NCmale_00000533-RA	0	0
H2NCmale_00000534-RA	0	0
H2NCmale_00000539-RA	0	0
H2NCmale_00000540-RA	0	0
H2NCmale_00000541-RA	0	0
H2NCmale_00000548-RA	0	0
H2NCmale_00000549-RA	0	0
H2NCmale_00000550-RA	0	0
H2NCmale_00000551-RA	0	0
H2NCmale_00000554-RA	0	0
H2NCmale_00000555-RA	0	0
H2NCmale_00000564-RA	0	0
H2NCmale_00000571-RA	0	0
H2NCmale_00000572-RA	0	0
H2NCmale_00000573-RA	0	0
H2NCmale_00000574-RA	0	0
H2NCmale_00000575-RA	0	0
H2NCmale_00000576-RA	0	0
H2NCmale_00000578-RA	0	0
H2NCmale_00000579-RA	0	0
H2NCmale_00000580-RA	0	0
H2NCmale_00000581-RA	0	0
H2NCmale_00000582-RA	0	0
H2NCmale_00000584-RA	0	0
H2NCmale_00000585-RA	0	0
H2NCmale_00000586-RA	0	0
H2NCmale_00000587-RA	0	0
H2NCmale_00000588-RA	0	0
H2NCmale_00000589-RA	0	0
H2NCmale_00000590-RA	0	0
H2NCmale_00000591-RA	0	0
H2NCmale_00000592-RA	0	0
H2NCmale_00000593-RA	0	0
H2NCmale_00000594-RA	0	0
H2NCmale_00000595-RA	0	0
H2NCmale_00000596-RA	0	0
H2NCmale_00000597-RA	0	0
H2NCmale_00000598-RA	0	0
H2NCmale_00000599-RA	0	0
H2NCmale_00000602-RA	0	0
H2NCmale_00000603-RA	0	0
H2NCmale_00000604-RA	0	0
H2NCmale_00000608-RA	0	0
H2NCmale_00000611-RA	0	0
H2NCmale_00000614-RA	0	0
H2NCmale_00000615-RA	0	0
H2NCmale_00000616-RA	0	0
H2NCmale_00000617-RA	0	0
H2NCmale_00000618-RA	0	0
H2NCmale_00000619-RA	0	0
H2NCmale_00000620-RA	0	0
H2NCmale_00000621-RA	0	0
H2NCmale_00000622-RA	0	0
H2NCmale_00000623-RA	0	0
H2NCmale_00000624-RA	0	0
H2NCmale_00000625-RA	0	0
H2NCmale_00000626-RA	0	0
H2NCmale_00000627-RA	0	0
H2NCmale_00000631-RA	0	0
H2NCmale_00000632-RA	0	0
H2NCmale_00000633-RA	0	0
H2NCmale_00000634-RA	0	0
H2NCmale_00000635-RA	0	0
H2NCmale_00000636-RA	0	0
H2NCmale_00000637-RA	0	0
H2NCmale_00000639-RA	0	0
H2NCmale_00000642-RA	0	0
H2NCmale_00000643-RA	0	0
H2NCmale_00000644-RA	0	0
H2NCmale_00000645-RA	0	0
H2NCmale_00000647-RA	0	0
H2NCmale_00000648-RA	0	0
H2NCmale_00000649-RA	0	0
H2NCmale_00000650-RA	0	0
H2NCmale_00000651-RA	0	0
H2NCmale_00000652-RA	0	0
H2NCmale_00000653-RA	0	0
H2NCmale_00000654-RA	0	0
H2NCmale_00000655-RA	0	0
H2NCmale_00000656-RA	0	0
H2NCmale_00000657-RA	0	0
H2NCmale_00000658-RA	0	0
H2NCmale_00000659-RA	0	0
H2NCmale_00000660-RA	0	0
H2NCmale_00000661-RA	0	0
H2NCmale_00000662-RA	0	0
H2NCmale_00000663-RA	0	0
H2NCmale_00000664-RA	0	0
H2NCmale_00000666-RA	0	0
H2NCmale_00000667-RA	0	0
H2NCmale_00000668-RA	0	0
H2NCmale_00000669-RA	0	0
H2NCmale_00000670-RA	0	0
H2NCmale_00000672-RA	0	0
H2NCmale_00000673-RA	0	0
H2NCmale_00000674-RA	0	0
H2NCmale_00000675-RA	0	0
H2NCmale_00000676-RA	0	0
H2NCmale_00000678-RA	0	0
H2NCmale_00000680-RA	0	0
H2NCmale_00000681-RA	0	0
H2NCmale_00000682-RA	0	0
H2NCmale_00000686-RA	0	0
H2NCmale_00000687-RA	0	0
H2NCmale_00000689-RA	0	0
H2NCmale_00000690-RA	0	0
H2NCmale_00000691-RA	0	0
H2NCmale_00000694-RA	0	0
H2NCmale_00000695-RA	0	0
H2NCmale_00000696-RA	0	0
H2NCmale_00000697-RA	0	0
H2NCmale_00000698-RA	0	0
H2NCmale_00000699-RA	0	0
H2NCmale_00000700-RA	0	0
H2NCmale_00000701-RA	0	0
H2NCmale_00000702-RA	0	0
H2NCmale_00000703-RA	0	0
H2NCmale_00000704-RA	0	0
H2NCmale_00000705-RA	0	0
H2NCmale_00000706-RA	0	0
H2NCmale_00000707-RA	0	0
H2NCmale_00000708-RA	0	0
H2NCmale_00000709-RA	0	0
H2NCmale_00000710-RA	0	0
H2NCmale_00000711-RA	0	0
H2NCmale_00000713-RA	0	0
